id,categoria,aliases
350,mitos y fábulas,Mitos Y Fábulas|Mitos Y Fábulases|mitos y fabulas|mitos y fabulases|mitos y fábulas|mitos y fábulases
351,"mobiliario, menaje y decoración","Mobiliario, Menaje Y Decoración|Mobiliario, Menaje Y Decoraciónes|mobiliario, menaje y decoracion|mobiliario, menaje y decoraciones|mobiliario, menaje y decoración|mobiliario, menaje y decoraciónes"
352,modos de pronunciar,Modos De Pronunciar|Modos De Pronunciares|modos de pronunciar|modos de pronunciares
353,mojado / seco,Mojado / Seco|Mojado / Secos|mojado / seco|mojado / secos
354,molinero,Molinero|Molineros|molinero|molineros
355,molinos de viento,Molinos De Viento|Molinos De Vientos|molinos de viento|molinos de vientos
356,"moralidad, justicia y equidad / inmoralidad e injusticia","Moralidad, Justicia Y Equidad / Inmoralidad E Injusticia|Moralidad, Justicia Y Equidad / Inmoralidad E Injusticias|moralidad, justicia y equidad / inmoralidad e injusticia|moralidad, justicia y equidad / inmoralidad e injusticias"
357,morfosintaxis,Morfosintaxis|Morfosintaxises|morfosintaxis|morfosintaxises
358,"mostrar, manifestar y difundir","Mostrar, Manifestar Y Difundir|Mostrar, Manifestar Y Difundires|mostrar, manifestar y difundir|mostrar, manifestar y difundires"
359,moverse a pie,Moverse A Pie|Moverse A Pies|moverse a pie|moverse a pies
360,movimiento,Movimiento|Movimientos|movimiento|movimientos
361,movimiento de fluidos,Movimiento De Fluidos|Movimiento De Fluidoses|movimiento de fluidos|movimiento de fluidoses
362,movimiento en el aire o en el agua,Movimiento En El Aire O En El Agua|Movimiento En El Aire O En El Aguas|movimiento en el aire o en el agua|movimiento en el aire o en el aguas
363,movimientos de evasión y persecución,Movimientos De Evasión Y Persecución|Movimientos De Evasión Y Persecuciónes|movimientos de evasion y persecucion|movimientos de evasion y persecuciones|movimientos de evasión y persecución|movimientos de evasión y persecuciónes
364,muerte,Muerte|Muertes|muerte|muertes
365,música,Armonía|Armonías|Canto|Cantos|Composición|Composiciónes|Instrumento|Instrumentos|Melodía|Melodías|Música|Músicas|Ritmo|Ritmos|armonia|armonias|armonía|armonías|canto|cantos|composicion|composiciones|composición|composiciónes|instrumento|instrumentos|melodia|melodias|melodía|melodías|musica|musicas|música|músicas|ritmo|ritmos
366,navegación,Navegación|Navegaciónes|navegacion|navegaciones|navegación|navegaciónes
367,necesario e ineludible,Necesario E Ineludible|Necesario E Ineludibles|necesario e ineludible|necesario e ineludibles
368,negocios y empresas,Negocios Y Empresas|Negocios Y Empresases|negocios y empresas|negocios y empresases
369,no acción,No Acción|No Acciónes|no accion|no acciones|no acción|no acciónes
370,no tener o no mostrar sentimientos,No Tener O No Mostrar Sentimientos|No Tener O No Mostrar Sentimientoses|no tener o no mostrar sentimientos|no tener o no mostrar sentimientoses
371,nombres de los deportes y deportistas,Nombres De Los Deportes Y Deportistas|Nombres De Los Deportes Y Deportistases|nombres de los deportes y deportistas|nombres de los deportes y deportistases
372,nombres propios,Nombres Propios|Nombres Propioses|nombres propios|nombres propioses
373,"normal, común y frecuente / extraordinario e infrecuente","Normal, Común Y Frecuente / Extraordinario E Infrecuente|Normal, Común Y Frecuente / Extraordinario E Infrecuentes|normal, comun y frecuente / extraordinario e infrecuente|normal, comun y frecuente / extraordinario e infrecuentes|normal, común y frecuente / extraordinario e infrecuente|normal, común y frecuente / extraordinario e infrecuentes"
374,nuevo / viejo,Nuevo / Viejo|Nuevo / Viejos|nuevo / viejo|nuevo / viejos
375,números,Números|Númeroses|numeros|numeroses|números|númeroses
376,"numismática, sigilografía y filatelia","Numismática, Sigilografía Y Filatelia|Numismática, Sigilografía Y Filatelias|numismatica, sigilografia y filatelia|numismatica, sigilografia y filatelias|numismática, sigilografía y filatelia|numismática, sigilografía y filatelias"
377,objetos religiosos,Objetos Religiosos|Objetos Religiososes|objetos religiosos|objetos religiososes
378,"obligaciones, contratos y acuerdos","Obligaciones, Contratos Y Acuerdos|Obligaciones, Contratos Y Acuerdoses|obligaciones, contratos y acuerdos|obligaciones, contratos y acuerdoses"
379,ocio y diversión,Ocio Y Diversión|Ocio Y Diversiónes|ocio y diversion|ocio y diversiones|ocio y diversión|ocio y diversiónes
380,ociosidad y negligencia,Ociosidad Y Negligencia|Ociosidad Y Negligencias|ociosidad y negligencia|ociosidad y negligencias
381,ocultar y desaparecer,Ocultar Y Desaparecer|Ocultar Y Desapareceres|ocultar y desaparecer|ocultar y desapareceres
382,ocurrir,Ocurrir|Ocurrires|ocurrir|ocurrires
383,odio,Odio|Odios|odio|odios
384,oficios metalúrgicos,Oficios Metalúrgicos|Oficios Metalúrgicoses|oficios metalurgicos|oficios metalurgicoses|oficios metalúrgicos|oficios metalúrgicoses
385,oficios textiles,Oficios Textiles|Oficios Textileses|oficios textiles|oficios textileses
386,oído,Oído|Oídos|oido|oidos|oído|oídos
387,olfato,Olfato|Olfatos|olfato|olfatos
388,oponerse o estar en contra,Oponerse O Estar En Contra|Oponerse O Estar En Contras|oponerse o estar en contra|oponerse o estar en contras
389,oportuno y adecuado / inoportuno e inadecuado,Oportuno Y Adecuado / Inoportuno E Inadecuado|Oportuno Y Adecuado / Inoportuno E Inadecuados|oportuno y adecuado / inoportuno e inadecuado|oportuno y adecuado / inoportuno e inadecuados
390,óptica,optica|opticas|Óptica|Ópticas|óptica|ópticas
391,"orden, norma y clasificación","Orden, Norma Y Clasificación|Orden, Norma Y Clasificaciónes|orden, norma y clasificacion|orden, norma y clasificaciones|orden, norma y clasificación|orden, norma y clasificaciónes"
392,organización social,Organización Social|Organización Sociales|organizacion social|organizacion sociales|organización social|organización sociales
393,organización territorial,Organización Territorial|Organización Territoriales|organizacion territorial|organizacion territoriales|organización territorial|organización territoriales
394,organizaciones e instituciones,Organizaciones E Instituciones|Organizaciones E Institucioneses|organizaciones e instituciones|organizaciones e institucioneses
395,orgullo / modestia,Orgullo / Modestia|Orgullo / Modestias|orgullo / modestia|orgullo / modestias
396,"ortografía, letras y alfabetos","Ortografía, Letras Y Alfabetos|Ortografía, Letras Y Alfabetoses|ortografia, letras y alfabetos|ortografia, letras y alfabetoses|ortografía, letras y alfabetos|ortografía, letras y alfabetoses"
397,otras adicciones,Otras Adicciones|Otras Adiccioneses|otras adicciones|otras adiccioneses
398,otras profesiones,Otras Profesiones|Otras Profesioneses|otras profesiones|otras profesioneses
399,otros productos vegetales,Otros Productos Vegetales|Otros Productos Vegetaleses|otros productos vegetales|otros productos vegetaleses
400,paleontología,Paleontología|Paleontologías|paleontologia|paleontologias|paleontología|paleontologías
401,partes de las embarcaciones,Partes De Las Embarcaciones|Partes De Las Embarcacioneses|partes de las embarcaciones|partes de las embarcacioneses
402,peces,Ictiología|Ictiologías|Ictiológico|Ictiológicos|Peces|Peceses|Pez|Piscícola|Piscícolas|ictiologia|ictiologias|ictiologico|ictiologicos|ictiología|ictiologías|ictiológico|ictiológicos|peces|peceses|pez|piscicola|piscicolas|piscícola|piscícolas
403,pedagogía y enseñanza,Pedagogía Y Enseñanza|Pedagogía Y Enseñanzas|pedagogia y ensenanza|pedagogia y ensenanzas|pedagogía y enseñanza|pedagogía y enseñanzas
404,"pedir, conceder y denegar","Pedir, Conceder Y Denegar|Pedir, Conceder Y Denegares|pedir, conceder y denegar|pedir, conceder y denegares"
405,peleas de gallos,Peleas De Gallos|Peleas De Galloses|peleas de gallos|peleas de galloses
406,peletería,Peletería|Peleterías|peleteria|peleterias|peletería|peleterías
407,"pensamiento, entendimiento y voluntad","Pensamiento, Entendimiento Y Voluntad|Pensamiento, Entendimiento Y Voluntades|pensamiento, entendimiento y voluntad|pensamiento, entendimiento y voluntades"
408,"pensamiento, juicio y opinión","Pensamiento, Juicio Y Opinión|Pensamiento, Juicio Y Opiniónes|pensamiento, juicio y opinion|pensamiento, juicio y opiniones|pensamiento, juicio y opinión|pensamiento, juicio y opiniónes"
409,períodos y civilizaciones,Períodos Y Civilizaciones|Períodos Y Civilizacioneses|periodos y civilizaciones|periodos y civilizacioneses|períodos y civilizaciones|períodos y civilizacioneses
410,"perjuicio, daño y desamparo","Perjuicio, Daño Y Desamparo|Perjuicio, Daño Y Desamparos|perjuicio, dano y desamparo|perjuicio, dano y desamparos|perjuicio, daño y desamparo|perjuicio, daño y desamparos"
411,pesca,Pesca|Pescas|pesca|pescas
412,peso,Peso|Pesos|peso|pesos
413,piezas y partes de cosas,Piezas Y Partes De Cosas|Piezas Y Partes De Cosases|piezas y partes de cosas|piezas y partes de cosases
414,pintura no artística,Pintura No Artística|Pintura No Artísticas|pintura no artistica|pintura no artisticas|pintura no artística|pintura no artísticas
415,plantas,Botánica|Botánicas|Flora|Floras|Planta|Plantas|Plantases|Vegetal|Vegetales|Vegetaleses|botanica|botanicas|botanico|botánica|botánicas|botánico|flora|floras|planta|plantas|plantases|vegetal|vegetales|vegetaleses
416,poder legislativo,Poder Legislativo|Poder Legislativos|poder legislativo|poder legislativos
417,política,Política|Políticas|politica|politicas|política|políticas
418,"poner, colgar y apoyar / quitar","Poner, Colgar Y Apoyar / Quitar|Poner, Colgar Y Apoyar / Quitares|poner, colgar y apoyar / quitar|poner, colgar y apoyar / quitares"
419,posesión / carencia,Posesión / Carencia|Posesión / Carencias|posesion / carencia|posesion / carencias|posesión / carencia|posesión / carencias
420,posesión y propiedad,Posesión Y Propiedad|Posesión Y Propiedades|posesion y propiedad|posesion y propiedades|posesión y propiedad|posesión y propiedades
421,posibilidad / imposibilidad,Posibilidad / Imposibilidad|Posibilidad / Imposibilidades|posibilidad / imposibilidad|posibilidad / imposibilidades
422,posturas y movimientos corporales,Posturas Y Movimientos Corporales|Posturas Y Movimientos Corporaleses|posturas y movimientos corporales|posturas y movimientos corporaleses
423,potencia y eficacia,Potencia Y Eficacia|Potencia Y Eficacias|potencia y eficacia|potencia y eficacias
424,precisión y exactitud / vaguedad,Precisión Y Exactitud / Vaguedad|Precisión Y Exactitud / Vaguedades|precision y exactitud / vaguedad|precision y exactitud / vaguedades|precisión y exactitud / vaguedad|precisión y exactitud / vaguedades
425,prensa,Prensa|Prensas|prensa|prensas
426,preparación y características de los alimentos,Preparación Y Características De Los Alimentos|Preparación Y Características De Los Alimentoses|preparacion y caracteristicas de los alimentos|preparacion y caracteristicas de los alimentoses|preparación y características de los alimentos|preparación y características de los alimentoses
427,preparación y planificación,Preparación Y Planificación|Preparación Y Planificaciónes|preparacion y planificacion|preparacion y planificaciones|preparación y planificación|preparación y planificaciónes
428,presencia y manifestación,Presencia Y Manifestación|Presencia Y Manifestaciónes|presencia y manifestacion|presencia y manifestaciones|presencia y manifestación|presencia y manifestaciónes
429,"presencia, reunión y compañía / ausencia y soledad","Presencia, Reunión Y Compañía / Ausencia Y Soledad|Presencia, Reunión Y Compañía / Ausencia Y Soledades|presencia, reunion y compania / ausencia y soledad|presencia, reunion y compania / ausencia y soledades|presencia, reunión y compañía / ausencia y soledad|presencia, reunión y compañía / ausencia y soledades"
430,probabilidad y estadística,Probabilidad Y Estadística|Probabilidad Y Estadísticas|probabilidad y estadistica|probabilidad y estadisticas|probabilidad y estadística|probabilidad y estadísticas
431,problemas y dificultades,Problemas Y Dificultades|Problemas Y Dificultadeses|problemas y dificultades|problemas y dificultadeses
432,"procedimientos, actuaciones y resoluciones judiciales","Procedimientos, Actuaciones Y Resoluciones Judiciales|Procedimientos, Actuaciones Y Resoluciones Judicialeses|procedimientos, actuaciones y resoluciones judiciales|procedimientos, actuaciones y resoluciones judicialeses"
433,procesos y reacciones,Procesos Y Reacciones|Procesos Y Reaccioneses|procesos y reacciones|procesos y reaccioneses
434,producir y elaborar,Producir Y Elaborar|Producir Y Elaborares|producir y elaborar|producir y elaborares
435,productos metalúrgicos,Productos Metalúrgicos|Productos Metalúrgicoses|productos metalurgicos|productos metalurgicoses|productos metalúrgicos|productos metalúrgicoses
436,productos químicos,Productos Químicos|Productos Químicoses|productos quimicos|productos quimicoses|productos químicos|productos químicoses
437,profesiones,Profesiones|Profesioneses|profesiones|profesioneses
438,profesores y alumnos,Profesores Y Alumnos|Profesores Y Alumnoses|profesores y alumnos|profesores y alumnoses
439,protección civil y otros cuerpos de seguridad,Protección Civil Y Otros Cuerpos De Seguridad|Protección Civil Y Otros Cuerpos De Seguridades|proteccion civil y otros cuerpos de seguridad|proteccion civil y otros cuerpos de seguridades|protección civil y otros cuerpos de seguridad|protección civil y otros cuerpos de seguridades
440,"protección, favor, seguridad y cuidado","Protección, Favor, Seguridad Y Cuidado|Protección, Favor, Seguridad Y Cuidados|proteccion, favor, seguridad y cuidado|proteccion, favor, seguridad y cuidados|protección, favor, seguridad y cuidado|protección, favor, seguridad y cuidados"
441,"prudencia, seriedad y moderación / imprudencia y falta de moderación","Prudencia, Seriedad Y Moderación / Imprudencia Y Falta De Moderación|Prudencia, Seriedad Y Moderación / Imprudencia Y Falta De Moderaciónes|prudencia, seriedad y moderacion / imprudencia y falta de moderacion|prudencia, seriedad y moderacion / imprudencia y falta de moderaciones|prudencia, seriedad y moderación / imprudencia y falta de moderación|prudencia, seriedad y moderación / imprudencia y falta de moderaciónes"
442,psicología,Psicología|Psicologías|psicologia|psicologias|psicología|psicologías
443,publicidad,Publicidad|Publicidades|publicidad|publicidades
444,querer y desear,Querer Y Desear|Querer Y Deseares|querer y desear|querer y deseares
445,"radio, televisión y cine","Radio, Televisión Y Cine|Radio, Televisión Y Cines|radio, television y cine|radio, television y cines|radio, televisión y cine|radio, televisión y cines"
446,realidad y existencia,Realidad Y Existencia|Realidad Y Existencias|realidad y existencia|realidad y existencias
447,recuerdo y memoria / olvido,Recuerdo Y Memoria / Olvido|Recuerdo Y Memoria / Olvidos|recuerdo y memoria / olvido|recuerdo y memoria / olvidos
448,relación,Relación|Relaciónes|relacion|relaciones|relación|relaciónes
449,relación del hombre con los animales,Relación Del Hombre Con Los Animales|Relación Del Hombre Con Los Animaleses|relacion del hombre con los animales|relacion del hombre con los animaleses|relación del hombre con los animales|relación del hombre con los animaleses
450,"relacionar, corresponder y comparar","Relacionar, Corresponder Y Comparar|Relacionar, Corresponder Y Comparares|relacionar, corresponder y comparar|relacionar, corresponder y comparares"
451,relaciones amorosas,Relaciones Amorosas|Relaciones Amorosases|relaciones amorosas|relaciones amorosases
452,relaciones familiares,Relaciones Familiares|Relaciones Familiareses|relaciones familiares|relaciones familiareses
453,relaciones sociales,Relaciones Sociales|Relaciones Socialeses|relaciones sociales|relaciones socialeses
454,religión,Credo|Credos|Culto|Cultos|Dogma|Dogmas|Fe|Fes|Liturgia|Liturgias|Religión|Religiónes|Teología|Teologías|credo|credos|culto|cultos|dogma|dogmas|fe|fes|liturgia|liturgias|religion|religiones|religión|religiónes|teologia|teologias|teología|teologías
455,relojería,Relojería|Relojerías|relojeria|relojerias|relojería|relojerías
456,remuneración laboral,Remuneración Laboral|Remuneración Laborales|remuneracion laboral|remuneracion laborales|remuneración laboral|remuneración laborales
457,"reprender, murmurar e insultar","Reprender, Murmurar E Insultar|Reprender, Murmurar E Insultares|reprender, murmurar e insultar|reprender, murmurar e insultares"
458,reproducción animal,Reproducción Animal|Reproducción Animales|reproduccion animal|reproduccion animales|reproducción animal|reproducción animales
459,reproducción vegetal,Reproducción Vegetal|Reproducción Vegetales|reproduccion vegetal|reproduccion vegetales|reproducción vegetal|reproducción vegetales
460,"reputación, respeto y premio / humillación, deshonor y castigo","Reputación, Respeto Y Premio / Humillación, Deshonor Y Castigo|Reputación, Respeto Y Premio / Humillación, Deshonor Y Castigos|reputacion, respeto y premio / humillacion, deshonor y castigo|reputacion, respeto y premio / humillacion, deshonor y castigos|reputación, respeto y premio / humillación, deshonor y castigo|reputación, respeto y premio / humillación, deshonor y castigos"
461,residencia y hospedaje,Residencia Y Hospedaje|Residencia Y Hospedajes|residencia y hospedaje|residencia y hospedajes
462,residuos,Residuos|Residuoses|residuos|residuoses
463,responsabilidad y deber / irresponsabilidad y exención,Responsabilidad Y Deber / Irresponsabilidad Y Exención|Responsabilidad Y Deber / Irresponsabilidad Y Exenciónes|responsabilidad y deber / irresponsabilidad y exencion|responsabilidad y deber / irresponsabilidad y exenciones|responsabilidad y deber / irresponsabilidad y exención|responsabilidad y deber / irresponsabilidad y exenciónes
464,restaurantes y bares,Restaurantes Y Bares|Restaurantes Y Bareses|restaurantes y bares|restaurantes y bareses
465,resultado de la acción,Resultado De La Acción|Resultado De La Acciónes|resultado de la accion|resultado de la acciones|resultado de la acción|resultado de la acciónes
466,resumen y concisión,Resumen Y Concisión|Resumen Y Concisiónes|resumen y concision|resumen y concisiones|resumen y concisión|resumen y concisiónes
467,retórica y oratoria,Retórica Y Oratoria|Retórica Y Oratorias|retorica y oratoria|retorica y oratorias|retórica y oratoria|retórica y oratorias
468,reuniones y congresos,Reuniones Y Congresos|Reuniones Y Congresoses|reuniones y congresos|reuniones y congresoses
469,romper y destruir / reparar,Romper Y Destruir / Reparar|Romper Y Destruir / Reparares|romper y destruir / reparar|romper y destruir / reparares
470,"sacudir, mecer o vibrar","Sacudir, Mecer O Vibrar|Sacudir, Mecer O Vibrares|sacudir, mecer o vibrar|sacudir, mecer o vibrares"
471,"seguridad, certeza y constatación / duda y sospecha","Seguridad, Certeza Y Constatación / Duda Y Sospecha|Seguridad, Certeza Y Constatación / Duda Y Sospechas|seguridad, certeza y constatacion / duda y sospecha|seguridad, certeza y constatacion / duda y sospechas|seguridad, certeza y constatación / duda y sospecha|seguridad, certeza y constatación / duda y sospechas"
472,seguros,Seguros|Seguroses|seguros|seguroses
473,semántica,Semántica|Semánticas|semantica|semanticas|semántica|semánticas
474,semillas,Semillas|Semillases|semillas|semillases
475,"señales, marcas e indicios","Señales, Marcas E Indicios|Señales, Marcas E Indicioses|senales, marcas e indicios|senales, marcas e indicioses|señales, marcas e indicios|señales, marcas e indicioses"
476,sentidos,Sentidos|Sentidoses|sentidos|sentidoses
477,separar / unir y juntar,Separar / Unir Y Juntar|Separar / Unir Y Juntares|separar / unir y juntar|separar / unir y juntares
478,ser y esencia,Ser Y Esencia|Ser Y Esencias|ser y esencia|ser y esencias
479,seres vivos,Seres Vivos|Seres Vivoses|seres vivos|seres vivoses
480,servicio doméstico,Servicio Doméstico|Servicio Domésticos|servicio domestico|servicio domesticos|servicio doméstico|servicio domésticos
481,servicios de seguridad,Servicios De Seguridad|Servicios De Seguridades|servicios de seguridad|servicios de seguridades
482,sexualidad,Sexualidad|Sexualidades|sexualidad|sexualidades
483,sociología,Sociología|Sociologías|sociologia|sociologias|sociología|sociologías
484,"solucionar, remediar y resarcir","Solucionar, Remediar Y Resarcir|Solucionar, Remediar Y Resarcires|solucionar, remediar y resarcir|solucionar, remediar y resarcires"
485,sonido,Sonido|Sonidos|sonido|sonidos
486,sonidos de los animales,Sonidos De Los Animales|Sonidos De Los Animaleses|sonidos de los animales|sonidos de los animaleses
487,sucio / limpio,Sucio / Limpio|Sucio / Limpios|sucio / limpio|sucio / limpios
488,sueño y descanso,Sueño Y Descanso|Sueño Y Descansos|sueno y descanso|sueno y descansos|sueño y descanso|sueño y descansos
489,suerte y casualidad,Suerte Y Casualidad|Suerte Y Casualidades|suerte y casualidad|suerte y casualidades
490,suministros e infraestructuras,Suministros E Infraestructuras|Suministros E Infraestructurases|suministros e infraestructuras|suministros e infraestructurases
491,tabaco,Tabaco|Tabacos|tabaco|tabacos
492,"tablas, gráficos y diagramas","Tablas, Gráficos Y Diagramas|Tablas, Gráficos Y Diagramases|tablas, graficos y diagramas|tablas, graficos y diagramases|tablas, gráficos y diagramas|tablas, gráficos y diagramases"
493,tacto,Tacto|Tactos|tacto|tactos
494,tauromaquia,Tauromaquia|Tauromaquias|tauromaquia|tauromaquias
495,taxonomía animal,Taxonomía Animal|Taxonomía Animales|taxonomia animal|taxonomia animales|taxonomía animal|taxonomía animales
496,taxonomía vegetal,Taxonomía Vegetal|Taxonomía Vegetales|taxonomia vegetal|taxonomia vegetales|taxonomía vegetal|taxonomía vegetales
497,teatro,Teatro|Teatros|teatro|teatros
498,tejidos,Tejidos|Tejidoses|tejidos|tejidoses
499,telecomunicaciones,Telecomunicaciones|Telecomunicacioneses|telecomunicaciones|telecomunicacioneses
500,teléfono,Teléfono|Teléfonos|telefono|telefonos|teléfono|teléfonos
501,temperatura,Temperatura|Temperaturas|temperatura|temperaturas
502,tendencias y doctrinas políticas,Tendencias Y Doctrinas Políticas|Tendencias Y Doctrinas Políticases|tendencias y doctrinas politicas|tendencias y doctrinas politicases|tendencias y doctrinas políticas|tendencias y doctrinas políticases
503,"tener, provocar y manifestar sentimientos","Tener, Provocar Y Manifestar Sentimientos|Tener, Provocar Y Manifestar Sentimientoses|tener, provocar y manifestar sentimientos|tener, provocar y manifestar sentimientoses"
504,teorías y disciplinas,Teorías Y Disciplinas|Teorías Y Disciplinases|teorias y disciplinas|teorias y disciplinases|teorías y disciplinas|teorías y disciplinases
505,terminar e interrumpir,Terminar E Interrumpir|Terminar E Interrumpires|terminar e interrumpir|terminar e interrumpires
506,terrenos,Terrenos|Terrenoses|terrenos|terrenoses
507,texturas y otras magnitudes y propiedades,Texturas Y Otras Magnitudes Y Propiedades|Texturas Y Otras Magnitudes Y Propiedadeses|texturas y otras magnitudes y propiedades|texturas y otras magnitudes y propiedadeses
508,tiempo,Tiempo|Tiempos|tiempo|tiempos
509,tierra,Tierra|Tierras|tierra|tierras
510,todo / parte / nada,Todo / Parte / Nada|Todo / Parte / Nadas|todo / parte / nada|todo / parte / nadas
511,topografía y parcelación,Topografía Y Parcelación|Topografía Y Parcelaciónes|topografia y parcelacion|topografia y parcelaciones|topografía y parcelación|topografía y parcelaciónes
512,topónimos,Topónimos|Topónimoses|toponimos|toponimoses|topónimos|topónimoses
513,trabajo,Trabajo|Trabajos|trabajo|trabajos
514,tracción animal,Tracción Animal|Tracción Animales|traccion animal|traccion animales|tracción animal|tracción animales
515,tracción mecánica y humana,Tracción Mecánica Y Humana|Tracción Mecánica Y Humanas|traccion mecanica y humana|traccion mecanica y humanas|tracción mecánica y humana|tracción mecánica y humanas
516,transmisiones sucesorias,Transmisiones Sucesorias|Transmisiones Sucesoriases|transmisiones sucesorias|transmisiones sucesoriases
517,transporte aéreo,Transporte Aéreo|Transporte Aéreos|transporte aereo|transporte aereos|transporte aéreo|transporte aéreos
518,transporte marítimo y fluvial,Transporte Marítimo Y Fluvial|Transporte Marítimo Y Fluviales|transporte maritimo y fluvial|transporte maritimo y fluviales|transporte marítimo y fluvial|transporte marítimo y fluviales
519,transporte terrestre,Transporte Terrestre|Transporte Terrestres|transporte terrestre|transporte terrestres
520,transportes,Transportes|Transporteses|transportes|transporteses
521,trastornos psicológicos,Trastornos Psicológicos|Trastornos Psicológicoses|trastornos psicologicos|trastornos psicologicoses|trastornos psicológicos|trastornos psicológicoses
522,tratamientos y técnicas,Tratamientos Y Técnicas|Tratamientos Y Técnicases|tratamientos y tecnicas|tratamientos y tecnicases|tratamientos y técnicas|tratamientos y técnicases
523,tributos,Tributos|Tributoses|tributos|tributoses
524,"tristeza, sufrimiento y resignación","Tristeza, Sufrimiento Y Resignación|Tristeza, Sufrimiento Y Resignaciónes|tristeza, sufrimiento y resignacion|tristeza, sufrimiento y resignaciones|tristeza, sufrimiento y resignación|tristeza, sufrimiento y resignaciónes"
525,triunfo y logro,Triunfo Y Logro|Triunfo Y Logros|triunfo y logro|triunfo y logros
526,urbanismo y mobiliario urbano,Urbanismo Y Mobiliario Urbano|Urbanismo Y Mobiliario Urbanos|urbanismo y mobiliario urbano|urbanismo y mobiliario urbanos
527,utensilios y máquinas,Utensilios Y Máquinas|Utensilios Y Máquinases|utensilios y maquinas|utensilios y maquinases|utensilios y máquinas|utensilios y máquinases
528,utilidad y provecho / inutilidad,Utilidad Y Provecho / Inutilidad|Utilidad Y Provecho / Inutilidades|utilidad y provecho / inutilidad|utilidad y provecho / inutilidades
529,validez / nulidad,Validez / Nulidad|Validez / Nulidades|validez / nulidad|validez / nulidades
530,"valor, ánimo y desenvoltura / cobardía, desánimo y timidez","Valor, Ánimo Y Desenvoltura / Cobardía, Desánimo Y Timideces|Valor, Ánimo Y Desenvoltura / Cobardía, Desánimo Y Timidez|valor, animo y desenvoltura / cobardia, desanimo y timideces|valor, animo y desenvoltura / cobardia, desanimo y timidez|valor, ánimo y desenvoltura / cobardía, desánimo y timideces|valor, ánimo y desenvoltura / cobardía, desánimo y timidez"
531,vegetales,Vegetales|Vegetaleses|vegetales|vegetaleses
532,"velocidad, rapidez y lentitud","Velocidad, Rapidez Y Lentitud|Velocidad, Rapidez Y Lentitudes|velocidad, rapidez y lentitud|velocidad, rapidez y lentitudes"
533,"verdad y sinceridad / mentira, engaño y disimulo","Verdad Y Sinceridad / Mentira, Engaño Y Disimulo|Verdad Y Sinceridad / Mentira, Engaño Y Disimulos|verdad y sinceridad / mentira, engano y disimulo|verdad y sinceridad / mentira, engano y disimulos|verdad y sinceridad / mentira, engaño y disimulo|verdad y sinceridad / mentira, engaño y disimulos"
534,vestido,Vestido|Vestidos|vestido|vestidos
535,veterinaria,Veterinaria|Veterinarias|veterinaria|veterinarias
536,vida animal,Vida Animal|Vida Animales|vida animal|vida animales
537,vida humana,Vida Humana|Vida Humanas|vida humana|vida humanas
538,vida vegetal,Vida Vegetal|Vida Vegetales|vida vegetal|vida vegetales
539,vista,Vista|Vistas|vista|vistas
540,viticultura,Viticultura|Viticulturas|viticultura|viticulturas
541,vocabulario deportivo,Vocabulario Deportivo|Vocabulario Deportivos|vocabulario deportivo|vocabulario deportivos
542,vocabulario musical,Vocabulario Musical|Vocabulario Musicales|vocabulario musical|vocabulario musicales
543,"voluntad, libertad e intención / instintivo","Voluntad, Libertad E Intención / Instintivo|Voluntad, Libertad E Intención / Instintivos|voluntad, libertad e intencion / instintivo|voluntad, libertad e intencion / instintivos|voluntad, libertad e intención / instintivo|voluntad, libertad e intención / instintivos"
544,vulcanismo,Vulcanismo|Vulcanismos|vulcanismo|vulcanismos
545,zapatería,Zapatería|Zapaterías|zapateria|zapaterias|zapatería|zapaterías
546,zoología,Animales|Animaleses|Fauna|Faunas|Zoología|Zoologías|Zoológico|Zoológicos|Zootecnia|Zootecnias|animales|animaleses|fauna|faunas|zoologia|zoologias|zoologico|zoologicos|zoología|zoologías|zoológico|zoológicos|zootecnia|zootecnias
